DeltaFuel,TimeStamp,valid_fuel,before_avg,after_avg
2122.24,2024-09-16T09:41:30.000000,3022.08,898.208,3061.0559999999996
2326.08,2024-09-17T20:42:29.000000,2997.44,675.5199999999999,3065.92
2065.28,2024-09-19T10:00:00.000000,3198.4,1147.5839999999996,3185.728
2230.08,2024-09-20T17:37:00.000000,3043.2,817.2479999999999,3094.56
2024.3200000000002,2024-09-22T03:46:00.000000,3008.0,977.8880000000001,3026.3039999999996
2108.1600000000003,2024-09-23T01:55:00.000000,3099.84,995.616,3101.6
2158.08,2024-09-24T03:46:00.000000,3025.6,879.5840000000002,3039.104
1904.3200000000002,2024-09-25T01:53:30.000000,3096.32,1192.512,3116.7359999999994
1924.8,2024-09-25T22:06:00.000000,2951.04,1015.9039999999999,2980.16
1593.92,2024-09-27T14:12:00.000000,2936.32,1333.5359999999998,2930.88
2138.88,2024-09-28T20:56:00.000000,3036.16,909.8880000000001,3073.7920000000004
1942.08,2024-09-30T02:59:30.000000,3043.2,1109.664,3082.944
2070.4,2024-09-30T21:44:30.000000,3054.08,985.4720000000001,3078.0160000000005
1712.6399999999999,2024-10-02T21:06:30.000000,3032.64,1316.3520000000003,3071.68
2174.4,2024-10-03T20:42:30.000000,2936.32,779.5840000000001,2975.136
1325.44,2024-10-04T20:14:00.000000,2268.48,941.152,2268.1279999999997
1144.6399999999999,2024-10-05T01:52:30.000000,3152.64,2003.1680000000001,3160.384
1875.52,2024-10-06T00:45:00.000000,3142.08,1267.712,3160.736
1028.8,2024-10-07T00:55:00.000000,2848.0,1807.136,2837.0240000000003
2087.3599999999997,2024-10-10T05:15:00.000000,3068.16,983.0079999999998,3064.2879999999996
2246.7200000000003,2024-10-11T07:58:30.000000,3011.52,761.7280000000001,3048.32
2145.6,2024-10-12T09:28:00.000000,3029.12,880.608,3059.968
2033.28,2024-10-13T04:25:30.000000,3011.52,980.0959999999999,3037.3119999999994
2016.96,2024-10-13T22:51:30.000000,3032.64,1016.992,3064.288
216.31999999999994,2024-10-15T00:12:00.000000,1651.52,982.2720000000002,2985.984
1476.48,2024-10-15T00:58:30.000000,3128.0,1144.768,3135.04
2015.36,2024-10-15T17:19:00.000000,3025.6,1006.528,3084.576
2208.96,2024-10-16T14:41:00.000000,3022.08,816.2559999999999,3026.6879999999996
2364.8,2024-10-17T09:30:30.000000,3180.8,821.3759999999999,3182.912
1946.56,2024-10-18T08:40:30.000000,2808.64,867.2,2828.2559999999994
2170.24,2024-10-19T01:59:30.000000,3043.2,875.0400000000002,3074.4959999999996
1517.12,2024-10-20T01:55:00.000000,3131.52,1618.8159999999998,3143.136
2087.68,2024-10-21T03:29:30.000000,3057.6,981.0880000000001,3095.264
1808.96,2024-10-22T15:44:00.000000,3000.96,1212.192,2992.832
2136.6400000000003,2024-10-23T20:11:00.000000,3117.44,984.3520000000001,3124.1279999999997
1673.6000000000001,2024-10-24T21:24:59.000000,3096.32,1419.0079999999998,3112.864
2093.12,2024-10-26T14:43:30.000000,3057.6,961.632,3091.3920000000007
2020.8,2024-10-27T10:14:00.000000,3015.04,993.4720000000001,3052.192
2326.3999999999996,2024-10-28T13:04:30.000000,3166.72,844.768,3184.32
1988.48,2024-10-29T10:24:30.000000,3057.6,1070.688,3099.1040000000003
1120.9599999999998,2024-10-30T00:48:00.000000,2882.24,1765.536,2881.2480000000005
1572.8000000000002,2024-10-30T12:41:30.000000,3106.88,1533.44,3141.728
2055.68,2024-10-31T08:34:00.000000,3015.04,960.576,3019.264
